paper_community,reference_community,year,citations
ai,signal processing,1993,8
ai,signal processing,1994,10
ai,signal processing,1995,19
ai,signal processing,1996,20
ai,signal processing,1997,43
ai,signal processing,1998,69
ai,signal processing,1999,43
ai,signal processing,2000,70
ai,signal processing,2001,74
ai,signal processing,2002,137
ai,signal processing,2003,146
ai,signal processing,2004,153
ai,signal processing,2005,207
ai,signal processing,2006,273
ai,signal processing,2007,304
ai,signal processing,2008,492
ai,signal processing,2009,669
ai,signal processing,2010,560
ai,signal processing,2011,770
ai,signal processing,2012,990
ai,signal processing,2013,1500
ai,signal processing,2014,1709
ai,signal processing,2015,2189
ai,signal processing,2016,3435
ai,signal processing,2017,1914
ai,software systems,1990,9
ai,software systems,1991,8
ai,software systems,1992,10
ai,software systems,1993,18
ai,software systems,1994,12
ai,software systems,1995,14
ai,software systems,1996,19
ai,software systems,1997,7
ai,software systems,1998,13
ai,software systems,1999,36
ai,software systems,2000,18
ai,software systems,2001,51
ai,software systems,2002,15
ai,software systems,2003,35
ai,software systems,2004,20
ai,software systems,2005,46
ai,software systems,2006,24
ai,software systems,2007,33
ai,software systems,2008,87
ai,software systems,2009,154
ai,software systems,2010,105
ai,software systems,2011,253
ai,software systems,2012,206
ai,software systems,2013,198
ai,software systems,2014,223
ai,software systems,2015,277
ai,software systems,2016,537
ai,software systems,2017,187
ai,systems,1990,3
ai,systems,1991,12
ai,systems,1992,7
ai,systems,1993,15
ai,systems,1994,3
ai,systems,1995,10
ai,systems,1996,15
ai,systems,1997,9
ai,systems,1998,13
ai,systems,1999,13
ai,systems,2000,9
ai,systems,2001,7
ai,systems,2002,11
ai,systems,2003,11
ai,systems,2004,15
ai,systems,2005,15
ai,systems,2006,16
ai,systems,2007,23
ai,systems,2008,32
ai,systems,2009,54
ai,systems,2010,56
ai,systems,2011,99
ai,systems,2012,93
ai,systems,2013,106
ai,systems,2014,162
ai,systems,2015,154
ai,systems,2016,247
ai,systems,2017,180
ai,theory,1990,8
ai,theory,1991,48
ai,theory,1992,30
ai,theory,1993,52
ai,theory,1994,55
ai,theory,1995,125
ai,theory,1996,81
ai,theory,1997,97
ai,theory,1998,62
ai,theory,1999,115
ai,theory,2000,75
ai,theory,2001,112
ai,theory,2002,82
ai,theory,2003,192
ai,theory,2004,131
ai,theory,2005,179
ai,theory,2006,101
ai,theory,2007,245
ai,theory,2008,174
ai,theory,2009,322
ai,theory,2010,240
ai,theory,2011,443
ai,theory,2012,288
ai,theory,2013,567
ai,theory,2014,372
ai,theory,2015,720
ai,theory,2016,520
ai,theory,2017,281
ai,vision,1990,35
ai,vision,1991,80
ai,vision,1992,69
ai,vision,1993,85
ai,vision,1994,107
ai,vision,1995,388
ai,vision,1996,141
ai,vision,1997,269
ai,vision,1998,253
ai,vision,1999,222
ai,vision,2000,312
ai,vision,2001,290
